Country,Region,ConfirmedCases,Fatalities,Ratio Cases Vs fatalities,World Rank,Region Rank,2019 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),GDP (Billions. PPP) USD,GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment %per,Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
New Zealand,Asia-Pacific,647,1,647,3,3,84.4,95,83.5,96.7,71,50.4,98.6,91,86.7,87.5,92.4,80,80,1.3,33,28,32.1,40.7,4.8,188.6,3,3.3,38934,4.9,1.9,3572,26.4,7.299600124,0.039465468,7.376952648,7.222247601,10.50094318,0.949118972,73.20262909,0.936217487,0.191598073,0.22113885,1.972316742,1.242317915,1.48721838,1.008138299,0.646789908,0.325726211,0.461268276,2.128108025
Iceland,Europe,1135,2,567.5,11,4,77.1,87.4,63.8,83.8,72.7,44,96.7,88.4,64.1,81.7,87,85,70,1.5,31.8,20,36.4,43.2,0.3,17.6,3.6,4.4,51842,2.8,1.8,-5.4,40.9,7.504499912,0.059615862,7.621346951,7.387652874,10.77255917,0.974669576,73,0.948891878,0.246944219,0.711709738,1.972316742,1.326501608,1.547567487,1.000843406,0.661980748,0.362330228,0.144540772,2.460688114
Qatar,Middle East and North Africa,781,2,390.5,28,3,72.6,64.5,60,77.4,99.7,56.8,94,71.2,65.9,78.4,83.2,60,60,3.4,0,0,5.7,37.9,2.7,340.6,2.1,3.3,124529,0.1,0.4,986,54,,,,,,,,,,,,,,,,,,
Uruguay,Americas,338,1,338,40,6,68.6,68.3,58.9,69.2,77.2,67.5,69.9,74.3,71.9,72.9,78.6,85,30,5.7,30,25,27.4,32.9,3.5,78.1,3.1,2.6,22371,7.9,6.2,-124.6,66.2,6.440100193,0.045419082,6.529121399,6.351078987,9.948192596,0.92281127,69.00254822,0.892395437,-0.101103112,0.635994136,1.972316742,1.071000457,1.425081134,0.856928885,0.59426707,0.132143691,0.193425074,2.167276382
Singapore,Asia-Pacific,926,3,308.666666666667,2,2,89.4,97.4,92.4,95.1,90.4,90.7,80,90.8,91,85.3,94.8,85,80,0.1,22,17,13.7,17.6,5.6,527,3.6,3.5,93906,2,0.6,62006,110.9,6.377099991,0.033258967,6.442287445,6.311912537,11.39552116,0.910268962,76.80458069,0.926645339,0.029879224,0.109784193,1.972316742,1.519580126,1.39545691,1.137814283,0.635317206,0.218770906,0.533162236,0.937031746
South Africa,Sub-Saharan Africa,1353,5,270.6,102,11,58.3,58.8,39.3,39.7,62.1,67.6,62.6,64.3,59.1,75.2,76,45,50,4.5,45,28,31.3,32.8,56.5,765.6,1.3,1.5,13545,27.3,5.3,1324.7,52.7,4.814099789,0.060023591,4.931746006,4.696453571,9.403370857,0.852532268,56.50601196,0.759330094,-0.109777324,0.843423843,1.972316742,0.902140439,1.259086251,0.407034069,0.43478182,0.126406848,0.05950214,1.625117302
Israel,Middle East and North Africa,5358,20,267.9,27,2,72.8,80,73.4,67.9,61.9,52.4,85.3,71.4,65.1,86.2,84.4,75,70,2.8,48,23,31.2,39.8,8.7,316.5,3.3,3.5,36340,4.3,0.2,18954,61,7.128600121,0.042515181,7.211929798,7.045270443,10.41752529,0.913571239,73.20025635,0.747580588,0.10259372,0.78085506,1.972316742,1.216463685,1.403256774,1.008052945,0.420699477,0.266861796,0.09989845,2.713358402
Chile,Americas,2738,12,228.166666666667,18,3,75.4,68.7,56.3,62.3,77.3,81,89,76.6,65,84.5,88.8,85,70,0.6,35,25,20.4,25.2,18.4,451.1,1.5,2.2,24537,7,2.2,6729.6,23.6,6.228499889,0.045723889,6.318118572,6.138881207,10.0320549,0.879713595,69.90061951,0.744896293,-0.065668367,0.838239431,1.972316742,1.096992493,1.323286891,0.889260828,0.417482227,0.155579001,0.06284935,2.283012867
Oman,Middle East and North Africa,192,1,192,88,7,61,58.1,51.6,53.8,97.8,32.5,16.1,75.2,57.3,77.7,87,65,60,1.5,0,12,8.5,47.4,4.1,186.6,-0.3,2.7,45157,3.3,1.6,1867.4,44.2,,,,,,,,,,,,,,,,,,
Estonia,Europe,745,4,186.25,15,7,76.6,81.5,76,73.1,79.9,51.1,99.8,75.3,57.2,79.6,86,90,70,2,20,20,34.7,40.4,1.3,41.6,4.9,2.7,31750,5.8,3.7,784.4,8.8,6.021800041,0.035985194,6.092330933,5.95126915,10.34001732,0.934729993,68.60495758,0.87770915,-0.111697771,0.623073816,1.972316742,1.192441225,1.453232527,0.842615008,0.576664805,0.125136748,0.201766819,1.629928112
